ρ,α,tmax,difference
0.25,0.25,140,0.685974
0.75,0,140,0.83919
1,0,140,0.848886
0.5,0,140,0.859401
0,1,140,0.8894
0,0,140,0.909694
0.25,0,140,0.930102
0.25,1,140,1.01981
1,0.25,140,1.13073
0.5,1,140,1.24574
1,0.5,140,1.30343
1,0.75,140,1.49819
0.75,1,140,1.82767
1,1,140,1.88063
0.25,0.75,130,0.242534
0.5,0.5,130,0.242534
0.75,0.5,130,0.302535
0.75,0.25,130,0.314137
0.25,0.5,130,0.344057
0.5,0.75,130,0.374755
0.5,0.25,130,0.52697
0,0.75,130,0.545965
0.25,0.25,130,0.597371
0.75,0.75,130,0.686764
0,0.5,130,0.69658
0,0.25,130,0.728281
1,0,130,0.888598
0.75,0,130,0.919003
0,1,130,0.94
0.5,0,130,0.940103
0,0,130,0.969392
0.25,1,130,0.981009
0.25,0,130,1.0102
1,0.25,130,1.07341
1,0.5,130,1.34306
0.5,1,130,1.57406
0.75,1,130,1.7671
1,0.75,130,1.81918
1,1,130,2.06272
0.25,0.75,120,0.253433
0.5,0.5,120,0.253434
0.75,0.5,120,0.253534
0.25,0.5,120,0.405745
0.75,0.25,120,0.413745
0.5,0.75,120,0.475451
0,0.75,120,0.596472
0,0.5,120,0.657985
0.75,0.75,120,0.676376
0.5,0.25,120,0.696978
0.25,0.25,120,0.737072
0,0.25,120,0.828086
1,0,120,0.859807
0.75,0,120,0.900311
0,0,120,0.939216
0,1,120,1.00001
0.5,0,120,1.0103
0.25,0,120,1.01999
0.25,1,120,1.10091
1,0.5,120,1.30556
1,0.25,120,1.34062
0.5,1,120,1.40596
0.75,1,120,1.71041
1,0.75,120,1.91771
1,1,120,2.27214
0.25,0.75,110,0.343342
0.5,0.5,110,0.343438
0.75,0.5,110,0.35344
0.75,0.25,110,0.37455
0.5,0.75,110,0.545067
0.25,0.5,110,0.574549
0.75,0.75,110,0.637582
0,0.75,110,0.647189
0.5,0.25,110,0.697787
0.25,0.25,110,0.707194
0,0.5,110,0.798473
0,0.25,110,0.808595
0,0,110,0.921628
1,0,110,0.980705
0.25,0,110,0.999207
0,1,110,1.00083
0.5,0,110,1.0298
0.75,0,110,1.03113
1,0.25,110,1.06223
0.25,1,110,1.09062
1,0.5,110,1.55626
0.5,1,110,1.59578
1,0.75,110,1.77089
0.75,1,110,2.0409
1,1,110,2.21445
0.25,0.75,100,0.334241
0.5,0.5,100,0.343755
0.75,0.5,100,0.343955
0.25,0.5,100,0.454885
0.75,0.25,100,0.454955
0.5,0.75,100,0.506663
0,0.75,100,0.7189
0.25,0.25,100,0.719402
0.75,0.75,100,0.758193
0.5,0.25,100,0.778686
0,0.5,100,0.847282
0,0.25,100,0.859519
0.25,0,100,0.920725
0.5,0,100,0.97992
0.25,1,100,1.06153
1,0,100,1.07053
0,1,100,1.08281
0.75,0,100,1.11261
0,0,100,1.16282
1,0.25,100,1.22284
0.5,1,100,1.57796
1,0.5,100,1.62627
1,0.75,100,2.08942
0.75,1,100,2.09012
1,1,100,2.44537
0.5,0.5,90,0.375453
0.75,0.5,90,0.395451
0.25,0.75,90,0.424061
0.25,0.5,90,0.488498
0.75,0.25,90,0.495475
0.5,0.75,90,0.666276
0,0.5,90,0.728205
0.75,0.75,90,0.819306
0.5,0.25,90,0.868589
0,0.75,90,0.890011
0.25,0.25,90,0.940214
0,0.25,90,0.951929
0.5,0,90,0.992041
1,0,90,1.05283
0.25,0,90,1.07252
0.25,1,90,1.15312
0.75,0,90,1.26114
0,1,90,1.28143
0,0,90,1.28213
1,0.25,90,1.28386
1,0.5,90,1.62749
0.5,1,90,1.79608
1,0.75,90,1.94193
0.75,1,90,2.01236
1,1,90,2.5366
0.25,0.75,80,0.406067
0.75,0.5,80,0.545074
0.5,0.5,80,0.545258
0.75,0.25,80,0.547468
0.5,0.75,80,0.62758
0,0.5,80,0.820524
0.25,0.5,80,0.849793
0.5,0.25,80,0.858895
0.75,0.75,80,0.930608
0,0.75,80,1.00114
0.25,0.25,80,1.02142
0.75,0,80,1.11424
0,1,80,1.14326
0,0.25,80,1.19293
0.5,0,80,1.20405
0,0,80,1.21257
0.25,0,80,1.25234
1,0,80,1.28254
0.25,1,80,1.31234
1,0.25,80,1.3858
0.5,1,80,1.6079
1,0.5,80,1.74938
1,0.75,80,2.19342
0.75,1,80,2.23597
1,1,80,2.66041
0.75,0.5,70,0.507384
0.5,0.5,70,0.525772
0.25,0.75,70,0.606683
0.75,0.25,70,0.746799
0.5,0.75,70,0.758003
0.5,0.25,70,0.889514
0.25,0.5,70,0.979298
0,0.5,70,1.05245
0.75,0.75,70,1.06081
0,0.75,70,1.11385
0.25,0.25,70,1.14213
0.25,0,70,1.23364
0.25,1,70,1.23364
1,0,70,1.25384
0,0,70,1.25656
0,0.25,70,1.29254
0,1,70,1.32599
0.5,0,70,1.40504
0.75,0,70,1.42386
1,0.25,70,1.58011
0.5,1,70,1.7898
1,0.5,70,1.93833
1,0.75,70,2.34186
0.75,1,70,2.59698
1,1,70,3.04062
0.5,0.5,60,0.577199
0.25,0.75,60,0.668312
0.75,0.25,60,0.679913
0.75,0.5,60,0.738388
0.5,0.75,60,0.800324
0.25,0.5,60,0.929822
0.5,0.25,60,0.951444
0.75,0.75,60,1.08143
0.25,0.25,60,1.21336
0,0.5,60,1.24497
0,0.25,60,1.25367
0.25,1,60,1.36399
0.25,0,60,1.36409
1,0,60,1.38399
0,0.75,60,1.38509
0.75,0,60,1.38566
0.5,0,60,1.5045
0,1,60,1.59906
0,0,60,1.65596
1,0.5,60,1.83295
0.5,1,60,1.98005
1,0.25,60,2.01099
1,0.75,60,2.18631
0.75,1,60,2.69838
1,1,60,3.06186
0.5,0.5,50,0.719931
0.25,0.75,50,0.831243
0.75,0.5,50,0.838817
0.25,0.5,50,0.982163
0.75,0.25,50,0.991326
0.5,0.75,50,1.03243
0.75,0.75,50,1.14339
0.5,0.25,50,1.14436
0.25,0.25,50,1.33578
0,0.25,50,1.36731
0.25,1,50,1.3986
1,0,50,1.3987
0.25,0,50,1.4088
0.5,0,50,1.4496
0,0.5,50,1.49699
0,0.75,50,1.50911
0.75,0,50,1.56623
0,0,50,1.5961
0,1,50,1.90566
0.5,1,50,2.00477
1,0.25,50,2.09922
1,0.5,50,2.29497
1,0.75,50,2.63072
0.75,1,50,2.83815
1,1,50,3.18601
0.75,0.5,40,0.881742
0.5,0.5,40,0.993074
0.25,0.75,40,1.12432
0.75,0.25,40,1.13258
0.25,0.5,40,1.21629
0.5,0.75,40,1.24278
0.75,0.75,40,1.33941
0.5,0.25,40,1.43581
0.25,0.25,40,1.57841
0,0,40,1.61025
0.75,0,40,1.62251
0,0.5,40,1.69947
0,0.25,40,1.73053
0.25,1,40,1.8596
1,0,40,1.86995
0.25,0,40,1.87995
0,0.75,40,1.91108
1,0.25,40,1.92227
0.5,0,40,1.95996
0.5,1,40,2.47666
1,0.5,40,2.49711
0,1,40,2.56619
0.75,1,40,2.81469
1,0.75,40,3.07188
1,1,40,3.60106
0.75,0.5,30,1.17417
0.75,0.25,30,1.25837
0.5,0.75,30,1.27842
0.5,0.5,30,1.30738
0.25,0.75,30,1.43199
0.5,0.25,30,1.5811
0.25,0.5,30,1.62923
0.25,0.25,30,1.84102
0.75,0.75,30,1.94074
0,0.5,30,1.94725
0.25,1,30,1.95961
1,0,30,1.99481
0.25,0,30,1.99483
0.5,0,30,1.99643
0,0,30,2.02524
0,0.25,30,2.05332
0,0.75,30,2.10777
1,0.25,30,2.22707
0.75,0,30,2.25112
0,1,30,2.61913
0.5,1,30,2.66647
1,0.5,30,2.71148
1,0.75,30,3.18822
0.75,1,30,3.46923
1,1,30,4.10598
0.75,0.5,20,1.4173
0.5,0.5,20,1.73761
0.75,0.25,20,1.83674
0.5,0.75,20,1.8418
0.25,0.5,20,1.92302
0.75,0.75,20,2.0741
0.25,0.25,20,2.10154
0.5,0.25,20,2.11015
0.75,0,20,2.11192
0.25,0.75,20,2.1992
0,0.25,20,2.33156
1,0,20,2.48071
0.25,0,20,2.48263
0,0,20,2.5239
0.5,0,20,2.64327
1,0.25,20,2.70715
0,0.5,20,2.72543
0,0.75,20,2.77673
0.25,1,20,2.9612
1,0.5,20,3.14766
0.5,1,20,3.64731
1,0.75,20,3.82167
0,1,20,3.91271
0.75,1,20,3.92303
1,1,20,4.59761
0.75,0.25,10,2.67425
0.75,0.5,10,2.7304
0.5,0.5,10,2.76122
